Temperature,Humidity,Rainfall,Leaf wetness Hours,Bacterial leaf spot,Alternariablight,Powdery mildew,Rhizopusrot,Downy mildew,Girdle beetle
28.8,68.0,0.0,1.17,0,0,0,0,0,1
27.5,77.0,24.2,10.17,0,0,0,1,0,0
26.9,79.0,0.0,4.92,0,0,0,0,0,1
28.2,73.0,0.2,0.0,0,0,0,1,0,0
27.0,75.0,0.0,0.0,0,0,0,0,0,1
26.2,81.0,2.2,7.08,1,0,0,1,0,0
26.2,80.0,0.4,0.67,1,0,0,1,0,0
26.5,76.0,0.0,0.0,0,0,0,0,0,1
26.6,76.0,0.0,0.0,0,0,0,0,0,1
26.3,78.0,0.0,0.42,0,0,0,0,0,1
23.5,98.0,29.2,24.0,0,0,0,0,0,0
23.0,99.0,40.2,24.0,0,0,0,0,0,0
24.3,93.0,4.2,15.83,1,0,0,0,0,0
23.9,94.0,5.0,15.5,0,0,0,0,0,0
23.1,91.0,3.2,6.42,0,0,0,0,0,0
25.5,82.0,0.0,0.0,1,0,0,0,0,0
25.2,82.0,0.0,0.17,1,0,0,0,0,0
26.0,78.0,0.0,0.0,0,0,0,0,0,1
26.2,75.0,0.0,0.0,0,0,0,0,0,1
26.3,75.0,0.0,0.0,0,0,0,0,0,1
26.6,72.0,0.0,0.08,0,0,0,0,0,1
26.5,75.0,0.4,0.58,0,0,0,1,0,0
26.0,80.0,0.0,7.08,1,0,0,0,0,1
26.2,82.0,1.4,10.42,1,0,0,1,0,0
27.1,77.0,0.0,5.33,0,0,0,0,0,1
26.8,75.0,0.0,0.25,0,0,0,0,0,1
25.4,80.0,0.0,0.0,1,0,0,0,0,1
25.7,81.0,0.2,0.0,1,0,0,1,0,0
27.0,77.0,0.0,3.17,0,0,0,0,0,1
27.1,74.0,0.0,0.0,0,0,0,0,0,1
24.9,87.0,1.6,2.83,1,0,0,1,0,0
25.1,86.0,0.4,5.0,1,0,0,1,0,0
26.3,78.0,0.0,0.0,0,0,0,0,0,1
26.5,75.0,0.0,0.0,0,0,0,0,0,1
25.9,78.0,0.0,0.0,0,0,0,0,0,1
26.2,76.0,0.0,0.0,0,0,0,0,0,1
26.0,78.0,0.0,1.25,0,0,0,0,0,1
24.3,89.0,2.2,2.92,1,0,0,1,0,0
25.5,83.0,0.8,4.83,1,0,0,1,0,0
24.7,86.0,3.8,3.92,1,0,0,1,0,0
25.1,82.0,0.2,1.42,1,0,0,1,0,0
25.7,80.0,0.0,0.0,1,0,0,0,0,1
27.1,76.0,0.4,0.0,0,0,0,1,0,0
26.5,78.0,0.0,0.0,0,0,0,0,0,1
26.7,77.0,0.0,0.0,0,0,0,0,0,1
26.5,78.0,0.4,3.42,0,0,0,1,0,0
26.2,79.0,0.6,1.08,0,0,0,1,0,0
25.8,78.0,0.0,0.17,0,0,0,0,0,1
25.6,79.0,0.6,6.5,0,0,0,1,0,0
24.7,83.0,0.4,5.08,1,0,0,1,0,0
25.7,80.0,0.0,3.0,1,0,0,0,0,1
24.5,82.0,0.0,0.33,1,0,0,0,0,0
23.4,89.0,1.4,8.83,0,0,0,1,0,0
23.4,92.0,1.2,11.67,0,0,0,0,0,0
23.5,92.0,3.2,16.25,0,0,0,0,0,0
22.2,97.0,3.8,20.92,0,0,0,0,0,0
22.7,97.0,7.4,19.5,0,0,0,0,0,0
23.2,95.0,5.4,18.67,0,0,0,0,0,0
22.6,99.0,14.0,23.42,0,0,0,0,0,0
22.1,100.0,30.2,24.0,0,0,0,0,0,0
22.9,98.0,11.2,22.67,0,0,0,0,0,0
23.1,97.0,7.0,16.92,0,0,0,0,0,0
23.5,95.0,2.0,10.42,0,0,0,0,0,0
24.6,92.0,5.2,9.67,1,0,0,0,0,0
24.9,89.0,0.2,0.0,1,0,0,1,0,0
24.3,91.0,1.6,10.08,1,0,0,0,0,0
23.7,94.0,3.0,19.5,0,0,0,0,0,0
24.6,89.0,0.4,10.42,1,0,0,1,0,0
22.7,98.0,21.6,22.67,0,0,0,0,0,0
23.5,98.0,19.4,22.25,0,0,0,0,0,0
24.1,94.0,2.0,13.75,1,0,0,0,0,0
23.7,95.0,1.4,14.92,0,0,0,0,0,0
23.4,96.0,2.2,16.67,0,0,0,0,0,0
23.9,93.0,1.4,3.58,0,0,0,0,0,0
24.6,89.0,0.0,0.0,1,0,0,0,0,0
24.2,91.0,1.8,13.42,1,0,0,0,0,0
23.5,95.0,3.2,10.33,0,0,0,0,0,0
23.4,95.0,2.8,15.92,0,0,0,0,0,0
23.1,96.0,1.2,5.5,0,0,0,0,0,0
22.6,98.0,3.6,21.08,0,0,0,0,0,0
23.3,94.0,4.0,16.42,0,0,0,0,0,0
23.9,93.0,3.8,19.0,0,0,0,0,0,0
24.1,91.0,0.2,9.75,1,1,0,0,0,0
24.4,87.0,0.0,0.0,1,0,0,0,0,0
23.9,88.0,0.0,0.0,0,0,0,0,0,0
24.0,86.0,0.0,5.08,1,0,0,0,0,0
24.1,84.0,0.2,2.08,1,0,0,1,0,0
23.8,85.0,0.2,2.08,0,0,0,1,0,0
23.1,88.0,0.0,0.0,0,0,0,0,0,0
23.2,87.0,0.0,0.0,0,0,0,0,0,0
24.0,84.0,0.0,0.0,1,0,0,0,0,0
24.8,81.0,0.0,0.0,1,0,0,0,0,0
24.7,82.0,0.0,0.0,1,0,0,0,0,0
25.4,80.0,0.0,0.0,1,0,0,0,0,1
23.5,95.0,0.0,0.0,0,0,0,0,0,0
24.0,92.0,0.0,0.0,1,0,0,0,0,0
24.6,91.0,3.8,4.75,1,0,0,0,0,0
25.1,92.0,0.2,11.58,1,0,0,0,0,0
22.7,95.0,1.4,7.33,0,0,0,0,0,0
22.8,89.0,0.8,13.42,0,0,0,1,0,0
23.1,92.0,2.0,9.75,0,0,0,0,0,0
24.5,84.0,0.0,4.5,1,0,0,0,0,0
24.4,84.0,0.0,5.67,1,0,0,0,0,0
24.1,83.0,0.2,2.75,1,0,0,1,0,0
25.3,81.0,0.6,0.0,1,0,0,1,0,0
24.7,81.0,0.0,1.0,1,0,0,0,0,0
25.0,86.0,2.4,7.25,1,0,0,1,0,0
25.6,89.0,2.6,17.17,1,0,0,1,0,0
25.5,88.0,4.6,15.33,1,0,0,1,0,0
25.0,90.0,0.8,12.92,1,0,0,1,0,0
24.7,87.0,7.8,13.75,1,0,0,1,0,0
25.5,86.0,0.2,10.0,1,0,0,1,0,0
24.7,89.0,38.2,9.08,1,0,0,1,0,0
24.1,91.0,39.8,16.42,1,0,0,0,0,0
24.9,89.0,3.4,10.92,1,0,0,1,0,0
25.9,86.0,0.8,7.17,1,0,0,1,0,0
26.1,83.0,5.6,10.5,1,0,0,1,0,0
25.0,86.0,3.2,9.83,1,0,0,1,0,0
25.7,87.0,1.2,9.17,1,0,0,1,0,0
25.2,88.0,0.2,8.92,1,0,0,1,0,0
25.0,86.0,0.0,0.0,1,0,0,0,0,0
25.5,84.0,0.0,4.58,1,0,0,0,0,0
24.7,89.0,3.0,7.83,1,0,0,1,0,0
24.1,89.0,0.0,9.58,1,0,0,0,0,0
24.5,87.0,0.2,4.58,1,0,0,1,0,0
25.2,85.0,0.0,0.0,1,0,0,0,0,0
25.6,85.0,0.0,0.0,1,0,0,0,0,0
25.4,83.0,0.0,0.0,1,0,0,0,0,0
25.4,79.0,0.0,0.0,0,0,0,0,0,1
25.2,83.0,0.0,0.0,1,0,0,0,0,0
24.9,78.0,0.2,2.83,0,0,0,1,0,0
25.4,79.0,0.0,0.0,0,0,0,0,0,1
25.5,74.0,0.0,0.0,0,0,0,0,0,1
23.7,67.0,0.2,0.0,0,0,0,1,1,0
22.4,63.0,0.2,0.0,0,0,0,1,1,0
22.3,64.0,0.0,0.0,0,0,0,0,1,1
22.2,62.0,0.4,0.08,0,1,0,1,1,0
21.8,60.0,0.0,2.58,0,0,1,0,1,1
